84,2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8
73,5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10
68,4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9
78,7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8
71,2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10
83,4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7
66,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10
65,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7
74,2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7
77,11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8
88,3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7
79,6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8
71,4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8
77,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6
82,5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11
70,6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9
79,3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8
67,7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9
84,6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,4
74,2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7
74,1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7
72,4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8
83,3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8
79,6,11,7,8,5,7,6,9,6,7,5,9,4,8,5,5
74,3,6,4,4,2,6,6,4,4,14,8,12,1,6,1,6
67,6,11,7,8,3,7,8,7,11,4,7,14,1,7,4,8
77,7,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7
87,12,14,12,8,5,9,10,4,3,5,10,7,10,12,2,6
72,6,9,8,7,6,8,6,6,7,7,7,9,6,8,4,8
71,3,6,4,4,2,6,6,5,5,6,6,9,2,8,4,8
76,2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8
76,1,3,3,1,1,6,4,1,7,8,3,10,0,7,2,9
88,8,12,8,6,4,3,10,4,7,12,11,9,3,7,3,4
66,5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7
77,6,9,9,7,6,5,6,3,5,10,9,9,8,5,2,7
71,4,7,6,5,3,6,6,6,8,6,5,9,3,10,4,8
79,4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8
80,3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8
71,4,9,5,6,6,8,5,4,3,7,5,11,6,8,5,11
69,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8
88,5,11,8,8,4,8,8,1,8,10,5,7,3,8,4,8
69,3,7,4,5,4,7,7,5,8,8,8,9,3,9,6,9
88,4,6,7,4,3,9,7,2,8,11,3,7,3,8,4,9
71,4,5,5,8,3,7,6,8,8,6,6,10,1,8,6,11
86,7,9,6,5,2,8,10,4,5,8,10,5,4,12,3,8
88,4,10,5,7,5,8,7,3,8,5,6,6,3,8,6,8
87,5,9,6,7,8,7,9,5,3,7,9,8,6,8,3,8
71,1,3,2,1,1,7,7,5,6,7,5,10,1,9,3,9
82,8,10,8,6,6,7,7,3,5,8,4,8,6,6,7,7
83,3,9,4,7,2,7,5,6,10,5,6,10,0,9,9,8
89,7,11,9,8,8,9,5,6,4,7,8,8,3,9,8,3
76,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8
